
2288262000491,"162 км",Мягкое,"Дудино-Серебряное, Узуново","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru",
1971872001849,"165 км","165 км165 км","Манихино 2, Лукино","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
0633722006322,"165 км","165 км","Муриково, 167 км","МОСКОВСКАЯ ОБЛАСТЬ","Октябрьская ж.д., Московское отд.",,
0633872006321,"167 км","167 км","Княжьи Горы (Тверская область), 165 км","МОСКОВСКАЯ ОБЛАСТЬ","Октябрьская ж.д., Московское отд.",,
2375432000701,"173 км","173 км","Ветчи (Владимирская область), 178 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru",
1971912002029,"174 км","174 км","Лукино, 177 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.",3ty.ru,
1971152001958,"177 км","177 км","183 км, 174 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.",rasp.yandex.ru,
2375392002957,"178 км","178 км","173 км, Поточино","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru",
2289872002015,"18 км",,"22 км, Лошатовка","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.",,
2338622000748,"18 км","18 км","Семеновский, Карасево","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Рязанское отд.","rasp.yandex.ru,3ty.ru",
1971262001321,"183 км","183 км","177 км, Дюдьково","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
2376132003935,"185 км","185 км","Орехово-Зуево, Поточино","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.",,
1971492000712,"189 км","190 км","Дюдьково, 191 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
1971532001961,"191 км","192 км","189 км, Ястребки","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
1971722001962,"198 км","199 км","Кубинка 2, Ястребки","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
1826412002028,"211 км","211 км","214 км, Кубинка 1",,"Московская ж.д., Московско-Смоленское отд.",,
1800822001963,"214 км","214 км","АКУЛОВО, 211 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
2289912002016,"22 км",,"18 км, 24 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.",,
1800632001964,"221 км","221 км","Пожитково, АКУЛОВО","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
2291572002017,"24 км",,"22 км, Жоково (Рязанская область)","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.",,
1814412001966,"240 км","240 км","Бекасово-Центральное, 241 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
1814372001967,"241 км","241 км","Мачихино, 240 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
1814562002033,"250 км","250 км","252 км, Мачихино","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.",3ty.ru,
1814182001968,"252 км","252 км","Кресты, 250 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
1812252001969,"274 км","274 км","Вяткино, Чернецкое","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
2291612002018,"28 км",,"Верейкино (Рязанская область), Жоково (Рязанская область)","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.",,
1812102001972,"283 км","283 км.","Сандарово, Столбовая","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Смоленское отд.","rasp.yandex.ru,3ty.ru",
2324272001309,"29 км","29 км","Пожога, БАРМИНО","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Рязанское отд.","rasp.yandex.ru,3ty.ru",
1907222002012,"298 км","298 км","Детково, Повадино","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.",,
2304212002000,"30 км",Заря,"Черное, Купавна",Г.МОСКВА,"Московская ж.д., Московско-Курское отд.",,
2339322001759,"30 км","30 км","Даниловская, 38 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Рязанское отд.","rasp.yandex.ru,3ty.ru",
1926772000458,"309 км","309 км","Повадино, 312 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru",
1926622002782,"312 км","312 км","Усады-Окружные, 309 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru",
2333112000466,"32 км","32 км32 км","Егорьевск 2, Ильинский Погост","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Рязанское отд.","rasp.yandex.ru,3ty.ru",
1926142000398,"328 км","328 км","Михнево, 332 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru",
2305102000107,"33 км","33 км","Купавна, Электроугли","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru",
1926242001973,"332 км","332 км","328 км, Малино","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru",
1926432001974,"341 км","341 км","Яганово, Малино","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru",
2291762002019,"35 км","35 км","Макеево-Московское, Верейкино (Рязанская область)","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.",,
2339472001762,"38 км","38 км","30 км, Озеры","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Рязанское отд.","rasp.yandex.ru,3ty.ru",
2365362001996,"39 км","40 км40 км","Бубяково, Наугольный","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru",
190243,"4 км",,"Серпухов, Серпухов-Ветка","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.",,
1946492000333,"41 км","41 км","Хрипань, Донино","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Рязанское отд.","rasp.yandex.ru,3ty.ru",
1948462000875,"42 км","42 км","Кратово, Фабричная","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Рязанское отд.","rasp.yandex.ru,3ty.ru",
2306142001006,"43 км","43 км","Электроугли, Храпуново","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru,gdevagon.ru",
2359422001302,"43 км","43 км","Зеленоградская, Софрино","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru,gdevagon.ru",
1949162000535,"47 км","47 км","Раменское, Совхоз","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Рязанское отд.","rasp.yandex.ru,3ty.ru",
2326152001422,"47 км","47 км","Сазоново, Рязановка","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Рязанское отд.","rasp.yandex.ru,3ty.ru",
2365172001995,"47 км","47 км47 км","Желтиково, Бубяково","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Курское отд.","rasp.yandex.ru,3ty.ru",
1946682001184,"49 км","49 км","Донино, 52 км","МОСКОВСКАЯ ОБЛАСТЬ","Московская ж.д., Московско-Рязанское отд.","rasp.yandex.ru,3ty.ru,gdevagon.ru",
