Название	Название-2	Соседние станции	Субъект РФ	Направление	lat	lng
Ростокино		Владыкино-Московское, Белокаменная	Г.МОСКВА	Московская ж.д.		
СЕВЕРНЫЙ ПОСТ			Г.МОСКВА	Московская ж.д.		
СЕРЕБРЯН БОР			Г.МОСКВА	Московская ж.д.		
СОФРИНО-НЕЧ	ЕСР: 236004		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ТЕРМИНАЛ-ВНУКОВО			МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
Угрешская		Андроновка, Москва-Южный Порт, Кожухово, Бойня	Г.МОСКВА	Московская ж.д.		
12 км	Разъезд 12 км	Лошатовка, Клемово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
121 км	121 км	123 км, Ожерелье	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
122 км	122 км122 км	Дулево, Центральный	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
123 км	123 км	126 км, Ожерелье	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
123 км		Пурлово, 121 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
126 км	126 км	Пчеловодное, 123 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
131 км	131 км	Топканово, Пурлово		Московская ж.д., Московско-Курское отд.		
137 км	137 км	Богатищево, Топканово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
14 км	14 км	Ковригино, Электрогорск	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
146 км	146 км	Коровино, Богатищево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
152 км	152 км	Узуново, Коровино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
162 км	Мягкое	Дудино-Серебряное, Узуново	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
173 км	173 км	Ветчи (Владимирская область), 178 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
178 км	178 км	173 км, Поточино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
18 км		22 км, Лошатовка	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
185 км	185 км	Орехово-Зуево, Поточино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
22 км		18 км, 24 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
24 км		22 км, Жоково (Рязанская область)	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
28 км		Верейкино (Рязанская область), Жоково (Рязанская область)	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
298 км	298 км	Детково, Повадино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
30 км	Заря	Черное, Купавна	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
309 км	309 км	Повадино, 312 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
312 км	312 км	Усады-Окружные, 309 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
328 км	328 км	Михнево, 332 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
33 км	33 км	Купавна, Электроугли	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
332 км	332 км	328 км, Малино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
341 км	341 км	Яганово, Малино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
35 км	35 км	Макеево-Московское, Верейкино (Рязанская область)	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
39 км	40 км40 км	Бубяково, Наугольный	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
4 км		Серпухов, Серпухов-Ветка	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
43 км	43 км	Электроугли, Храпуново	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
43 км	43 км	Зеленоградская, Софрино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
47 км	47 км47 км	Желтиково, Бубяково	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
52 км	52 км	Барыбино, Белые Столбы	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
53 км		Латыгоры, 56 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
56 км		59 км, 53 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
59 км		60 км (Рязанская область), 56 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
61 км	62 км	Костино, Желтиково	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
